"CTYNAME","pop2021","GrowthRate"
"Shelby County","938768","1.1116"
"Davidson County","701400","11.7331"
"Knox County","478423","10.5061"
"Hamilton County","374826","11.1537"
"Rutherford County","347561","31.7977"
"Williamson County","251280","36.4592"
"Montgomery County","216355","24.9459"
"Sumner County","198869","23.3572"
"Sullivan County","159846","1.9758"
"Wilson County","152063","32.6011"
"Blount County","136602","10.8791"
"Washington County","130803","6.0129"
"Bradley County","110230","11.2502"
"Maury County","100615","23.9528"
"Sevier County","98960","10.0497"
"Madison County","98746","0.5059"
"Putnam County","83473","15.0574"
"Anderson County","78360","4.3437"
"Robertson County","73081","10.1912"
"Greene County","68879","0.0654"
"Hamblen County","65544","4.8536"
"Cumberland County","62084","10.4835"
"Tipton County","61645","0.9498"
"Coffee County","57806","9.5433"
"Hawkins County","56932","0.1090"
"Carter County","56339","-1.7492"
"Loudon County","56040","15.0482"
"Jefferson County","55461","7.2456"
"Dickson County","54952","10.6030"
"McMinn County","54710","4.8566"
"Roane County","53630","-0.9950"
"Bedford County","50847","12.7978"
"Gibson County","49057","-1.3553"
"Monroe County","47097","5.5750"
"Lawrence County","44884","6.9507"
"Franklin County","42754","4.3824"
"Fayette County","42287","10.0450"
"Warren County","42179","5.8232"
"Cheatham County","40997","4.7686"
"Campbell County","39936","-1.9615"
"Dyer County","36905","-3.6876"
"Cocke County","36296","1.8406"
"Marshall County","35513","15.7265"
"Lincoln County","34720","4.0081"
"Rhea County","33679","5.7160"
"Weakley County","33158","-5.3818"
"Henry County","32363","-0.1080"
"Claiborne County","32177","-0.1180"
"Obion County","29659","-6.7972"
"Marion County","29525","4.6244"
"Giles County","29500","0.3197"
"Henderson County","28385","2.1484"
"White County","27863","7.8790"
"Carroll County","27351","-3.8764"
"Hardin County","25570","-1.8426"
"Hickman County","25520","3.5420"
"McNairy County","25422","-2.4707"
"Macon County","25228","13.4506"
"Lauderdale County","24905","-10.1584"
"Hardeman County","24598","-9.4630"
"Grainger County","23686","4.2472"
"Overton County","22587","2.2406"
"Scott County","22148","-0.3554"
"DeKalb County","21204","13.4207"
"Morgan County","21141","-3.9875"
"Union County","20538","7.4388"
"Smith County","20513","7.2519"
"Fentress County","18925","5.5906"
"Humphreys County","18644","0.4634"
"Unicoi County","18005","-1.5259"
"Johnson County","17816","-2.5703"
"Chester County","17401","1.2039"
"Haywood County","17218","-8.4733"
"Wayne County","16749","-1.3895"
"Polk County","16660","-0.9100"
"Benton County","15988","-3.1676"
"Bledsoe County","15426","19.7299"
"Sequatchie County","15296","8.2673"
"Cannon County","15154","9.8355"
"Crockett County","14098","-3.3589"
"Stewart County","13907","4.1879"
"Grundy County","13585","-1.0200"
"Meigs County","12672","7.4627"
"Lewis County","12656","3.9678"
"Jackson County","11804","1.5398"
"Trousdale County","11786","49.6825"
"Decatur County","11591","-1.0754"
"Houston County","8135","-3.7392"
"Perry County","8128","2.3678"
"Clay County","7491","-4.5003"
"Hancock County","6738","-0.8826"
"Moore County","6550","3.4755"
"Lake County","6234","-20.3526"
"Van Buren County","6090","9.3554"
"Pickett County","5038","-0.8658"